Age,Income,Dependents,Tenure,MonthlyCharges,TotalCharges,AutoPay,MonthlyUsageHours,LoginFrequency,FeatureUsageScore,CustomerSupportCalls,ServiceComplaints,AppRating,DiscountReceived,LastInteractionDays,ContractRenewalReminder,UpgradeAttempts,AverageMonthlySpend,UsagePerDay,SupportCallRate,ComplaintRate,EngagementScore,ContractType_Monthly,ContractType_Two-year,ContractType_Yearly,SubscriptionPlan_Basic,SubscriptionPlan_Premium,SubscriptionPlan_Standard,PaymentMethod_Bank Transfer,PaymentMethod_Credit Card,PaymentMethod_PayPal,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender_Female,Gender_Male
39,61142,1,52,60.41,3162.65,1,69.4,16,99.9,1,2,3.1,0,5,1,1,60.82019230769231,2.3133333333333335,0.019230769230769232,0.038461538461538464,54.06,False,False,True,False,False,True,False,True,False,True,False,False,False,True
62,35079,2,57,29.04,1715.37,1,72.9,21,70.1,0,0,3.8,0,3,0,2,30.094210526315788,2.43,0.0,0.0,45.739999999999995,False,True,False,True,False,False,False,False,True,False,True,False,True,False
29,62366,0,1,25.25,83.11,0,54.1,10,41.0,3,0,3.2,1,61,1,0,83.11,1.8033333333333335,3.0,0.0,29.0,True,False,False,True,False,False,True,False,False,False,True,False,True,False
43,61944,3,10,60.18,587.21,0,34.6,10,76.1,1,0,2.4,0,26,0,1,58.721000000000004,1.1533333333333333,0.1,0.0,40.64,True,False,False,False,False,True,True,False,False,True,False,False,False,True
18,32079,1,72,27.53,2013.31,1,30.2,18,45.6,3,1,3.2,1,28,1,1,27.96263888888889,1.0066666666666666,0.041666666666666664,0.013888888888888888,33.24,True,False,False,True,False,False,False,False,True,False,True,False,True,False
48,64625,1,2,29.73,86.43,0,43.5,7,41.8,2,0,4.1,1,10,1,0,43.215,1.45,1.0,0.0,31.119999999999997,False,True,False,True,False,False,True,False,False,False,True,False,True,False
36,51308,1,27,101.36,2730.91,1,57.7,18,7.5,1,1,2.9,0,7,1,2,101.14481481481481,1.9233333333333333,0.037037037037037035,0.037037037037037035,17.099999999999998,True,False,False,False,True,False,False,True,False,False,False,True,True,False
47,85382,1,23,27.44,649.12,0,38.7,9,81.3,0,0,4.4,0,5,1,1,28.222608695652173,1.29,0.0,0.0,48.42,True,False,False,True,False,False,True,False,False,True,False,False,False,True
51,45294,0,12,86.61,1025.69,1,33.3,18,68.9,1,0,3.4,1,7,0,1,85.47416666666668,1.1099999999999999,0.08333333333333333,0.0,43.16,True,False,False,False,True,False,True,False,False,False,True,False,True,False
40,64112,2,11,52.55,500.56,0,55.0,20,34.3,2,1,2.3,1,11,1,1,45.50545454545455,1.8333333333333333,0.18181818181818182,0.09090909090909091,26.619999999999997,False,False,True,False,False,True,True,False,False,True,False,False,True,False
21,74758,1,27,28.01,754.84,1,24.0,16,54.3,1,0,4.2,1,200,0,0,27.95703703703704,0.8,0.037037037037037035,0.0,39.12,False,True,False,True,False,False,False,True,False,False,False,True,True,False
43,38512,1,71,32.07,2258.47,0,27.9,17,31.4,1,1,3.0,0,1,0,1,31.80943661971831,0.9299999999999999,0.014084507042253521,0.014084507042253521,26.66,False,False,True,True,False,False,False,False,True,False,False,True,True,False
21,65035,3,1,31.4,16.27,1,45.2,14,56.8,1,1,3.0,1,105,1,1,16.27,1.5066666666666668,1.0,1.0,35.92,False,False,True,True,False,False,False,True,False,False,True,False,False,True
28,44377,1,3,99.23,303.48,1,51.9,17,64.6,0,0,3.9,0,18,1,0,101.16000000000001,1.73,0.0,0.0,42.64,False,False,True,False,True,False,True,False,False,True,False,False,False,True
56,60906,0,36,22.71,860.58,1,36.1,19,69.6,1,0,3.4,0,32,0,1,23.905,1.2033333333333334,0.027777777777777776,0.0,43.739999999999995,True,False,False,True,False,False,False,False,True,True,False,False,False,True
53,63467,1,21,59.51,1304.52,1,24.8,23,69.8,2,1,3.2,0,16,0,1,62.12,0.8266666666666667,0.09523809523809523,0.047619047619047616,44.42,True,False,False,False,False,True,False,True,False,False,True,False,False,True
58,36033,1,2,96.47,239.58,1,29.2,15,49.8,0,1,3.4,0,13,1,0,119.79,0.9733333333333333,0.0,0.5,34.620000000000005,True,False,False,False,True,False,True,False,False,False,True,False,False,True
40,33800,5,19,31.29,615.42,0,51.2,20,71.3,3,3,4.3,0,57,0,1,32.39052631578947,1.7066666666666668,0.15789473684210525,0.15789473684210525,47.419999999999995,True,False,False,True,False,False,False,True,False,False,False,True,False,True
50,79340,2,72,54.19,3975.38,1,24.2,24,40.6,3,1,4.9,0,33,0,0,55.21361111111111,0.8066666666666666,0.041666666666666664,0.013888888888888888,38.14,True,False,False,False,False,True,True,False,False,False,True,False,True,False
25,110150,2,11,96.59,1068.91,0,30.8,11,93.4,0,2,3.5,0,25,0,0,97.17363636363638,1.0266666666666666,0.0,0.18181818181818182,51.160000000000004,False,False,True,False,True,False,True,False,False,True,False,False,True,False
55,66846,0,50,33.15,1675.43,0,83.0,16,95.8,1,2,1.6,0,10,1,0,33.5086,2.7666666666666666,0.02,0.04,47.919999999999995,False,False,True,True,False,False,True,False,False,False,False,True,True,False
42,50278,1,5,99.94,594.13,1,69.3,17,65.5,0,0,4.3,0,29,0,1,118.826,2.31,0.0,0.0,44.2,False,False,True,False,True,False,False,True,False,False,False,True,True,False
44,76847,1,47,44.77,2087.28,1,78.3,13,64.5,1,1,2.3,1,28,0,1,44.41021276595745,2.61,0.02127659574468085,0.02127659574468085,36.6,False,True,False,False,False,True,False,False,True,False,True,False,True,False
37,63313,1,9,65.6,622.77,0,60.7,14,55.1,1,1,4.1,0,3,0,0,69.19666666666666,2.0233333333333334,0.1111111111111111,0.1111111111111111,38.54,True,False,False,False,False,True,False,False,True,False,False,True,True,False
38,58878,2,28,58.31,1580.8,1,57.7,15,35.1,1,0,4.1,1,13,0,1,56.457142857142856,1.9233333333333333,0.03571428571428571,0.0,30.839999999999996,False,False,True,False,False,True,False,True,False,False,False,True,False,True
