CustomerID,Age,Gender,City,Income,MaritalStatus,Dependents,Tenure,ContractType,SubscriptionPlan,MonthlyCharges,TotalCharges,PaymentMethod,AutoPay,MonthlyUsageHours,LoginFrequency,FeatureUsageScore,CustomerSupportCalls,ServiceComplaints,AppRating,DiscountReceived,LastInteractionDays,ContractRenewalReminder,UpgradeAttempts,Churn
C00001,45,Male,New Benjamin,52234,Single,2,4,Monthly,Basic,36.9,185.97,Bank Transfer,No,30.6,11,65.9,1,0,4.2,No,4,Yes,0,0
C00002,57,Female,Port Shawn,50484,Single,0,17,Monthly,Basic,26.28,452.31,Bank Transfer,No,17.0,13,62.5,2,0,4.2,No,11,No,1,1
C00003,48,Female,North Andrewmouth,58427,Single,0,5,Yearly,Premium,98.42,477.04,Credit Card,No,10.4,19,40.6,1,0,4.0,No,39,Yes,1,0
C00004,21,Male,Blairland,76992,Single,0,8,Yearly,Basic,34.9,234.29,Credit Card,Yes,56.7,15,60.9,4,0,3.2,No,3,Yes,0,0
C00005,41,Male,Melvintown,15248,Married,1,12,Yearly,Premium,95.05,1177.79,Credit Card,No,35.8,19,46.5,2,1,2.9,No,7,No,0,0
C00006,18,Female,South Jamesview,61910,Married,0,3,Yearly,Basic,31.26,85.48,Credit Card,Yes,44.3,17,14.6,3,0,3.5,Yes,1,Yes,0,0
C00007,33,Male,Lake Charles,46570,Married,2,26,Monthly,Premium,95.12,2511.78,Credit Card,Yes,24.0,16,82.7,1,1,4.9,No,1,No,1,0
C00008,46,Male,Randallborough,36706,Married,2,10,Monthly,Standard,57.22,600.01,Credit Card,Yes,60.9,16,65.5,1,2,2.5,No,38,No,3,1
C00009,43,Male,Lake Mitchellchester,40712,Married,0,4,Two-year,Premium,108.33,457.01,Credit Card,Yes,16.2,18,68.1,2,1,2.8,No,13,Yes,0,0
C00010,39,Male,Port Sheliahaven,61823,Divorced,3,20,Yearly,Standard,51.97,1037.67,Credit Card,Yes,20.7,13,74.5,5,0,3.1,No,5,No,2,0
C00011,42,Male,Jenniferstad,38821,Single,1,17,Monthly,Standard,60.79,1061.47,Credit Card,No,61.7,13,76.1,5,1,4.3,No,66,Yes,0,1
C00012,41,Male,North Kimberly,37881,Divorced,0,15,Monthly,Standard,50.06,768.77,PayPal,No,31.7,13,56.6,2,1,3.5,Yes,23,Yes,3,0
C00013,32,Female,West John,72048,Married,1,1,Monthly,Standard,55.14,138.21,Bank Transfer,Yes,33.3,12,48.6,2,2,2.4,No,8,No,0,0
C00014,45,Male,Erikatown,70492,Married,1,16,Yearly,Basic,22.53,355.22,Bank Transfer,Yes,0.1,16,29.0,0,0,3.5,No,58,Yes,1,1
C00015,37,Female,East Brianna,56217,Divorced,3,24,Yearly,Standard,69.67,1574.48,Credit Card,No,37.0,11,66.8,0,0,3.7,No,2,No,0,0
C00016,32,Male,Jessicaburgh,47890,Single,3,39,Yearly,Standard,54.86,2111.53,PayPal,Yes,54.9,13,67.2,3,1,4.5,Yes,11,Yes,1,1
C00017,43,Male,Kathyhaven,52397,Single,3,8,Monthly,Premium,105.02,780.33,PayPal,Yes,55.4,19,68.3,1,0,4.3,Yes,12,No,0,0
C00018,47,Male,Port William,82157,Single,0,2,Monthly,Basic,26.83,63.85,PayPal,No,51.2,8,72.5,2,3,2.9,Yes,45,Yes,1,0
C00019,39,Male,Kimville,34949,Single,0,15,Two-year,Standard,60.61,867.79,Credit Card,Yes,50.4,25,85.7,2,1,3.6,No,148,Yes,0,0
C00020,40,Female,Lake Connor,64959,Married,2,23,Yearly,Basic,33.36,776.45,PayPal,Yes,83.8,12,38.8,1,0,2.0,Yes,50,Yes,1,0
C00021,48,Male,South Sarahberg,84533,Married,3,1,Monthly,Basic,34.9,11.44,Credit Card,No,5.7,19,82.1,1,0,3.7,Yes,245,No,2,0
C00022,34,Female,Port Josephview,67456,Single,1,72,Monthly,Standard,52.16,3782.29,Credit Card,Yes,61.2,13,85.8,3,1,4.3,No,15,No,0,1
C00023,47,Female,Stephaniehaven,82372,Single,1,3,Monthly,Standard,50.35,223.27,Credit Card,No,57.7,13,52.3,2,2,3.5,No,8,Yes,2,1
C00024,24,Male,Port Williammouth,68393,Married,0,3,Two-year,Basic,30.83,45.5,Bank Transfer,Yes,29.7,21,33.8,1,0,2.8,No,2,Yes,0,0
C00025,33,Male,Moralesside,31042,Married,2,38,Monthly,Basic,25.5,979.7,Bank Transfer,No,37.8,11,50.6,1,1,4.8,Yes,1,No,0,0
C00026,40,Male,North Cherylmouth,74372,Single,1,14,Two-year,Premium,90.97,1283.75,PayPal,No,24.9,11,26.6,0,1,4.3,No,20,Yes,0,0
C00027,58,Female,Gatesberg,65778,Married,1,8,Two-year,Premium,105.98,782.36,Credit Card,Yes,1.7,12,73.8,0,0,3.2,No,10,No,0,0
C00028,40,Female,Kirbyville,38380,Single,2,12,Yearly,Standard,56.12,711.21,PayPal,No,50.0,22,35.4,1,1,2.9,No,21,Yes,0,0
C00029,21,Male,South Donald,70954,Divorced,1,15,Yearly,Standard,55.74,838.47,Bank Transfer,Yes,22.8,13,47.3,1,1,1.5,No,12,No,3,0
C00030,41,Male,Whitakerburgh,51886,Single,2,38,Yearly,Premium,96.56,3647.65,Credit Card,Yes,47.9,17,46.6,2,1,3.0,No,10,Yes,1,0
C00031,37,Male,Katherineberg,71462,Married,3,67,Monthly,Basic,21.61,1505.06,Bank Transfer,No,46.8,16,46.7,2,0,4.2,No,1,Yes,1,0
C00032,52,Female,Victoriastad,44799,Single,0,44,Monthly,Standard,57.65,2487.66,Credit Card,Yes,31.1,12,62.5,3,0,2.7,No,71,Yes,1,0
C00033,42,Female,East Christina,107871,Married,1,49,Yearly,Basic,29.55,1484.24,Bank Transfer,Yes,49.6,17,59.5,2,3,5.0,Yes,15,Yes,0,0
C00034,27,Male,Thomasbury,21902,Divorced,2,10,Monthly,Basic,27.32,356.65,PayPal,No,34.8,10,24.9,1,1,5.0,No,1,No,1,0
C00035,36,Male,Port Omar,32869,Married,0,72,Yearly,Premium,111.87,8057.6,Credit Card,No,40.3,11,54.5,0,0,2.9,Yes,44,No,1,0
C00036,54,Male,North Kathleenville,15000,Single,0,4,Yearly,Standard,51.96,168.95,Credit Card,No,17.8,18,90.0,0,0,4.1,Yes,1,Yes,0,0
C00037,46,Male,Newtonfurt,33934,Single,0,2,Monthly,Basic,33.07,19.12,Credit Card,No,44.7,14,60.1,0,0,2.2,No,66,Yes,1,1
C00038,55,Female,South Janice,19937,Married,0,23,Monthly,Basic,35.23,701.8,Credit Card,No,4.9,23,44.1,0,1,3.6,No,16,No,0,1
C00039,65,Female,Port Jenniferview,68445,Married,0,3,Monthly,Basic,22.56,72.72,Credit Card,No,7.4,16,66.0,1,0,3.7,No,27,No,1,0
C00040,18,Female,North Zachary,29408,Single,1,4,Monthly,Basic,27.26,118.97,PayPal,No,11.3,14,66.6,2,0,5.0,No,82,No,1,1
C00041,47,Male,Limouth,24616,Divorced,0,16,Monthly,Basic,20.55,378.16,PayPal,Yes,33.0,15,59.9,1,2,4.0,No,13,Yes,0,0
C00042,24,Female,Connorton,50475,Married,3,25,Monthly,Standard,63.17,1602.21,Bank Transfer,Yes,38.6,23,21.8,2,0,2.6,Yes,77,No,2,0
C00043,34,Female,Wilsonmouth,72730,Divorced,1,21,Two-year,Basic,26.83,547.97,PayPal,Yes,44.4,13,45.4,0,0,4.7,No,11,No,2,0
C00044,48,Male,South Williambury,55940,Single,2,34,Yearly,Basic,26.45,775.07,Credit Card,Yes,58.4,14,61.3,1,0,2.4,No,10,Yes,0,1
C00045,18,Female,Colefurt,30852,Married,1,71,Two-year,Basic,33.92,2397.62,Credit Card,No,39.0,16,68.5,2,1,2.2,Yes,5,No,0,0
C00046,32,Female,South Michael,78780,Single,0,72,Yearly,Basic,36.1,2570.66,PayPal,Yes,23.4,19,64.4,1,0,2.8,No,62,Yes,0,0
C00047,43,Male,Port Richardport,61689,Single,2,12,Yearly,Basic,22.1,228.65,PayPal,Yes,39.3,8,90.9,1,1,5.0,No,52,No,0,0
C00048,20,Male,Andrewton,64250,Married,5,43,Monthly,Standard,64.33,2824.65,Credit Card,Yes,67.6,20,68.0,1,0,2.9,No,51,No,1,1
C00049,49,Female,Jayside,25212,Married,2,24,Yearly,Basic,36.48,886.2,Bank Transfer,No,45.3,13,47.0,1,2,4.4,Yes,2,No,1,0
C00050,33,Female,Kristiport,62544,Married,1,1,Two-year,Standard,58.34,0.0,Credit Card,Yes,54.6,14,76.6,2,0,4.0,Yes,7,Yes,0,0
C00051,24,Female,North Cassandramouth,72449,Married,1,13,Yearly,Basic,28.43,401.25,Bank Transfer,No,15.5,14,88.2,1,0,2.5,No,59,No,2,0
C00052,48,Male,Lake Bradley,69450,Married,3,1,Monthly,Standard,59.98,95.43,Bank Transfer,Yes,38.2,9,83.8,2,0,3.6,No,9,Yes,1,0
C00053,34,Female,Johnberg,15000,Single,1,28,Monthly,Basic,30.86,888.02,Credit Card,Yes,39.5,9,43.6,1,0,4.7,No,24,Yes,0,0
C00054,29,Female,Lake Michelleborough,55753,Divorced,1,1,Yearly,Standard,53.99,39.93,Credit Card,Yes,76.0,19,67.8,0,0,4.6,Yes,1,No,1,0
C00055,48,Male,Melissaport,62869,Married,2,40,Monthly,Premium,105.59,4233.48,Bank Transfer,Yes,81.5,15,41.2,0,0,3.0,No,61,No,0,0
C00056,27,Male,Newmanstad,44414,Married,2,19,Two-year,Standard,54.33,1069.94,PayPal,No,17.4,17,66.3,0,0,4.4,No,38,No,1,0
C00057,21,Female,Lopezport,95034,Married,3,13,Yearly,Premium,102.26,1250.56,Bank Transfer,Yes,69.5,18,82.6,2,0,3.5,Yes,8,Yes,1,0
